step,loss
43,13.224039077758789
95,9.955328941345215
168,8.658002853393555
230,8.243111610412598
235,8.2391357421875
274,8.467435836791992
311,8.281232833862305
319,7.966245174407959
475,7.640983581542969
537,7.335651397705078
580,6.996350288391113
587,7.8186750411987305
635,7.086772441864014
648,7.219625473022461
715,7.408833980560303
809,7.227650165557861
1015,7.10591983795166
1067,7.021708965301514
1334,6.528468132019043
1338,6.740634441375732
1386,6.128758430480957
1393,6.4846272468566895
1437,6.172446250915527
1692,6.038797855377197
1735,5.909455299377441
1738,5.724751949310303
1878,5.802872180938721
1918,6.138363838195801
2037,6.24565315246582
2097,6.32606315612793
2200,5.790661334991455
2263,5.855566024780273
2308,5.350492000579834
2390,6.129160404205322
2437,5.477755546569824
2486,5.174643039703369
2487,5.394239902496338
2499,5.854970455169678
2533,5.701836585998535
2686,6.076077461242676
2741,6.073553562164307
3039,5.63532018661499
3231,5.7717695236206055
3247,4.560127258300781
3306,5.545407772064209
3619,5.499013900756836
3621,4.8481950759887695
3671,5.815289497375488
3742,5.0285420417785645
3815,5.138349533081055
3822,5.293424606323242
3929,5.185352802276611
3957,5.302296161651611
4037,5.713344097137451
4197,5.125251770019531
4318,4.505495071411133
4401,5.091811180114746
4493,5.137920379638672
4510,4.869756698608398
4677,4.867969512939453
4789,4.675217151641846
4972,5.111253261566162
5107,4.836495876312256
5135,4.75449275970459
5346,5.0494608879089355
5360,4.3846435546875
5550,4.3815765380859375
5680,4.7119927406311035
5724,4.595609188079834
5809,5.030885696411133
5865,5.11571741104126
5872,3.927356481552124
5908,4.346854209899902
5991,4.5824198722839355
6201,4.450852394104004
6220,4.633833885192871
6290,4.4749979972839355
6575,4.2897138595581055
6604,3.7534196376800537
6700,4.557332515716553
6712,4.454392910003662
6855,4.506092071533203
6967,4.158138751983643
7156,4.354333877563477
7383,4.483383655548096
7461,4.963982105255127
7464,4.676414489746094
7512,4.550180912017822
7789,3.8844103813171387
7799,4.128700256347656
7834,4.28986120223999
7992,4.119726657867432
8067,4.253547191619873
8181,4.015157699584961
8222,3.6166257858276367
8364,4.405360221862793
8378,3.9974043369293213
8499,3.601187229156494
8509,4.274663925170898
8602,4.2451677322387695
8879,3.9169669151306152
8929,3.516932964324951
8936,4.100032806396484
8994,4.038238525390625
9261,4.1899847984313965
9469,3.5812809467315674
9555,4.189305305480957
9568,4.292099475860596
9699,3.2679169178009033
9844,4.214562892913818
9908,3.6762988567352295
10277,3.8322205543518066
10284,3.859234094619751
10400,3.9383952617645264
10480,3.575252056121826
10523,3.983260154724121
10608,3.5063483715057373
10758,3.6631619930267334
10781,3.447877883911133
10903,4.057253837585449
10906,5.0276641845703125
10967,4.351096153259277
10975,3.647846221923828
11021,4.085392475128174
11103,4.389728546142578
11420,3.7769296169281006
11473,4.367860794067383
11533,4.043072700500488
11567,3.6197521686553955
11686,3.4966015815734863
11760,3.4928524494171143
11970,3.83129620552063
11975,3.2675065994262695
12165,3.4944698810577393
12291,3.342205762863159
12672,3.8478434085845947
12878,4.003109931945801
12940,3.7878034114837646
13035,3.542213201522827
13062,3.3643898963928223
13110,3.6702866554260254
13403,3.3836190700531006
13547,2.9056239128112793
13598,3.577615261077881
13621,3.1452858448028564
13811,2.972630023956299
13885,3.3335471153259277
14081,2.7975430488586426
14222,3.0099189281463623
14295,3.6013236045837402
14339,3.774249315261841
14448,3.1288602352142334
14639,3.655839681625366
14669,3.545719861984253
14688,3.40385365486145
14780,3.10331654548645
14810,3.470198631286621
14874,2.996443271636963
14893,3.722057342529297
15325,3.6904847621917725
15474,3.1506340503692627
15476,3.6789565086364746
15508,2.6502327919006348
15741,3.924150228500366
15765,4.001881122589111
16117,3.464740037918091
16250,3.810089588165283
16322,2.8330578804016113
16698,3.646561861038208
16810,3.306652307510376
16858,3.1969375610351562
16900,2.7031912803649902
17067,2.6898388862609863
17098,3.524975061416626
17293,3.0279111862182617
17318,3.365018367767334
17340,2.9222378730773926
17544,3.279672622680664
17558,2.9886837005615234
17587,3.0974087715148926
17595,2.8943586349487305
18066,3.3977673053741455
18452,2.628765106201172
18959,2.8236875534057617
19117,3.261221170425415
19170,3.412592887878418
19272,3.0427985191345215
19532,3.077840566635132
19641,3.241133689880371
19655,2.521021842956543
19732,2.8234877586364746
19847,3.298678398132324
19939,2.9362270832061768
19996,3.0017926692962646
20036,3.1185462474823
20054,3.12587571144104
20063,3.0199074745178223
20139,2.765103816986084
20245,3.3092169761657715
20253,3.1726295948028564
20324,2.9221365451812744
20441,3.2849438190460205
20540,3.030184268951416
20541,2.719167470932007
20563,3.5686497688293457
20579,2.8042151927948
20780,3.7887818813323975
20783,2.879617214202881
20832,2.845730781555176
20856,3.4408302307128906
21081,3.558281660079956
21145,3.0532612800598145
21210,2.906794309616089
21233,2.7814314365386963
21320,2.922175884246826
21392,3.2967333793640137
21524,3.3782496452331543
21849,2.945794105529785
22007,2.5824995040893555
22246,2.7113492488861084
22293,2.6541852951049805
22331,3.2567813396453857
22359,3.33843994140625
22473,2.546052932739258
22841,3.5316154956817627
23139,3.3082194328308105
23149,2.960676908493042
23193,2.977160930633545
23219,2.912400007247925
23264,3.5591540336608887
23287,2.9999821186065674
