step,map
1036,0.09090909361839294
1554,0.07210615277290344
2072,0.0886363610625267
2590,0.08890200406312943
3108,0.10222779214382172
3626,0.11189503222703934
4144,0.13279184699058533
4662,0.13220681250095367
5180,0.17746132612228394
5698,0.19906753301620483
6216,0.21490460634231567
6734,0.2325378805398941
7252,0.24133946001529694
7770,0.25606557726860046
8288,0.276454359292984
8806,0.3025229275226593
9324,0.306921124458313
9842,0.3067662715911865
10360,0.30727627873420715
10878,0.3155139982700348
11396,0.3357948064804077
11914,0.3499133288860321
12432,0.3607953190803528
12950,0.36455199122428894
13468,0.3743186295032501
13986,0.3831520080566406
14504,0.39113712310791016
15022,0.3884948194026947
15540,0.40206995606422424
16058,0.4167836308479309
16576,0.42884913086891174
17094,0.4284941554069519
17612,0.43740978837013245
18130,0.44145989418029785
18648,0.45168283581733704
19166,0.4565354585647583
19684,0.44731852412223816
20202,0.45293402671813965
20720,0.45841097831726074
21238,0.46511614322662354
21756,0.4797057807445526
22274,0.47506463527679443
22792,0.48102545738220215
23310,0.48892173171043396
23828,0.4891616702079773
24346,0.49522802233695984
24864,0.5066817998886108
25382,0.5032649636268616
25900,0.5155759453773499
26418,0.5065593123435974
26936,0.5155377984046936
27454,0.525218665599823
27972,0.5174735188484192
28490,0.5171346068382263
29008,0.5218417048454285
29526,0.5178530216217041
30044,0.523964524269104
30562,0.5311116576194763
31080,0.5311266779899597
31598,0.535586953163147
32116,0.5495722889900208
32634,0.5361078977584839
33152,0.5408372282981873
33670,0.5525946617126465
34188,0.5460130572319031
34706,0.5500917434692383
35224,0.5588049292564392
35742,0.5717713832855225
36260,0.5803841352462769
36778,0.5580784678459167
37296,0.5725718140602112
37814,0.5761229991912842
38332,0.5727383494377136
38850,0.5720301866531372
39368,0.5813929438591003
39886,0.5855545997619629
40404,0.5808799266815186
40922,0.5857488512992859
41440,0.5910700559616089
41958,0.5822032690048218
42476,0.5953401327133179
42994,0.5910094380378723
43512,0.5956427454948425
44030,0.5949984788894653
44548,0.5990847945213318
45066,0.6009529829025269
45584,0.6011977791786194
46102,0.6004528403282166
46620,0.6054127812385559
47138,0.604875385761261
47656,0.6090043187141418
48174,0.618658721446991
48692,0.605869472026825
49210,0.6096228957176208
49728,0.6053937673568726
50246,0.6109868288040161
50764,0.6110814809799194
51282,0.6143856644630432
51800,0.6143872141838074
52318,0.614895761013031
52836,0.6154146790504456
53354,0.6244102716445923
53872,0.6198808550834656
54390,0.6197523474693298
54908,0.6329178214073181
55426,0.6192852258682251
55944,0.6202735900878906
56462,0.6285653114318848
56980,0.6289867162704468
57498,0.6248289346694946
58016,0.6375278830528259
58534,0.6425379514694214
59052,0.6382377743721008
59570,0.6383341550827026
60088,0.6291909217834473
60606,0.6504130959510803
61124,0.6371660828590393
61642,0.6426003575325012
62160,0.6508818864822388
62678,0.6517971158027649
63196,0.6560947895050049
63714,0.6553609371185303
64232,0.6556997299194336
64750,0.6604170203208923
65268,0.6563872694969177
65786,0.6521453261375427
66304,0.6516537070274353
66822,0.651902973651886
67340,0.652055561542511
67858,0.6561220288276672
68376,0.6515712738037109
68894,0.6605496406555176
69412,0.6570003032684326
69930,0.6610161066055298
70448,0.6707102656364441
70966,0.6768016815185547
71484,0.6760517954826355
72002,0.685994565486908
72520,0.68118816614151
73038,0.686156690120697
73556,0.6944528818130493
74074,0.6954026818275452
74592,0.6900143623352051
75110,0.695049524307251
75628,0.7075133919715881
76146,0.7077028751373291
76664,0.6907001733779907
77182,0.6992718577384949
77700,0.6993048787117004
78218,0.6995958685874939
78736,0.7077475190162659
79254,0.7127140164375305
79772,0.7130436301231384
80290,0.7129635810852051
80808,0.7080591320991516
81326,0.7214842438697815
81844,0.6952494382858276
82362,0.7131096720695496
82880,0.7132080793380737
83398,0.7084810137748718
83916,0.7132768630981445
84434,0.7179986834526062
84952,0.7131892442703247
85470,0.7139576077461243
85988,0.7176196575164795
86506,0.7137018442153931
87024,0.7175479531288147
87542,0.7132601141929626
88060,0.7216697931289673
88578,0.7175320386886597
89096,0.7180176377296448
89614,0.7089718580245972
90132,0.7045766115188599
90650,0.713302493095398
91168,0.7134394645690918
91686,0.699767529964447
92204,0.7125988602638245
92722,0.7183958888053894
93240,0.7131249904632568
93758,0.7173309922218323
94276,0.7181764841079712
94794,0.7136322855949402
95312,0.7090919017791748
95830,0.7179204225540161
96348,0.7134596705436707
